    1             16         0.0625        0.23772
    2             32        0.03125      0.0546053
    3             64       0.015625       0.030464
    4            128      0.0078125       0.010986
    5            256     0.00390625     0.00343608
    6            512     0.00195312     0.00139868
    7           1024    0.000976562    0.000508937
    8           2048    0.000488281    0.000185022
    9           4096    0.000244141    6.63402e-05
   10           8192     0.00012207    2.37491e-05
   11          16384    6.10352e-05    8.01364e-06
   12          32768    3.05176e-05    2.85815e-06
   13          65536    1.52588e-05    1.01035e-06
   14         131072    7.62939e-06    3.56976e-07
   15         262144     3.8147e-06    1.27607e-07
   16         524288    1.90735e-06    4.50494e-08
   17        1048576    9.53674e-07    1.59068e-08
   18        2097152    4.76837e-07    5.62152e-09
   19        4194304    2.38419e-07    1.98946e-09
   20        8388608    1.19209e-07    7.02508e-10
   21       16777216    5.96046e-08    2.47871e-10
   22       33554432    2.98023e-08    8.74703e-11
   23       67108864    1.49012e-08    3.16078e-11
   24      134217728    7.45058e-09    1.44472e-11
