    0             16         0.0625       0.651211
    1             32        0.03125       0.312493
    2             64       0.015625       0.154701
    3            128      0.0078125      0.0771659
    4            256     0.00390625      0.0385605
    5            512     0.00195312      0.0192775
    6           1024    0.000976562      0.0096384
    7           2048    0.000488281     0.00481916
    8           4096    0.000244141     0.00240957
    9           8192     0.00012207     0.00120479
   10          16384    6.10352e-05    0.000602393
   11          32768    3.05176e-05    0.000301196
   12          65536    1.52588e-05    0.000150598
   13         131072    7.62939e-06    7.52991e-05
   14         262144     3.8147e-06    3.76495e-05
   15         524288    1.90735e-06    1.88255e-05
   16        1048576    9.53674e-07    9.41937e-06
   17        2097152    4.76837e-07    4.77042e-06
   18        4194304    2.38419e-07    2.86512e-06
   19        8388608    1.19209e-07    1.01456e-05
