    1             16         0.0625       0.122495
    2             32        0.03125      0.0224804
    3             64       0.015625     0.00464237
    4            128      0.0078125     0.00275009
    5            256     0.00390625    0.000517305
    6            512     0.00195312    0.000353382
    7           1024    0.000976562    5.16138e-06
    8           2048    0.000488281     4.8007e-06
    9           4096    0.000244141    8.96567e-07
   10           8192     0.00012207    3.22853e-08
   11          16384    6.10352e-05    2.35154e-07
   12          32768    3.05176e-05    2.57831e-09
   13          65536    1.52588e-05    6.17794e-09
   14         131072    7.62939e-06    1.74234e-10
   15         262144     3.8147e-06     7.0387e-11
   16         524288    1.90735e-06    5.06293e-11
   17        1048576    9.53674e-07    2.34145e-11
   18        2097152    4.76837e-07    2.25223e-11
   19        4194304    2.38419e-07    2.15914e-11
   20        8388608    1.19209e-07    2.16725e-11
   21       16777216    5.96046e-08    2.20967e-11
   22       33554432    2.98023e-08    2.21271e-11
   23       67108864    1.49012e-08     2.2324e-11
   24      134217728    7.45058e-09    2.24248e-11
